TABLE_NAME     COLUMN_NAME            DATA_TYPE
mPatientPrescribedMedicine   ProviderID                    int
mPatientPrescribedMedicine   IsActive                      bit
mPatientPrescribedMedicine   IsDeleted                     bit
mPatientPrescribedMedicine   UserCreated                   varchar
mPatientPrescribedMedicine   DateCreated                   datetime
mPatientPrescribedMedicine   UserUpdated                   varchar
mPatientPrescribedMedicine   DateUpdated                   datetime
mPatientProgram              PatientProgramID              int
mPatientProgram              PatientID                     int
mPatientProgram              ProgramID                     int
mPatientProgram              ProgramTypeID                 int
mPatientProgram              ProgramStatus                 varchar
mPatientProgram              ProgramStartDate              datetime
mPatientProgram              ProgramEndDate                datetime
mPatientProgram              ReferenceNumber               varchar
mPatientProgram              IsActive                      bit
mPatientProgram              IsDeleted                     bit
mPatientProgram              UserCreated                   varchar
mPatientProgram                DateCreated                     datetime
mPatientProgram                UserUpdated                     varchar
mPatientProgram                DateUpdated                     datetime
mPatientRace                   PatientRaceID                   int
mPatientRace                   PatientID                       int
mPatientRace                   RaceID                          int
mPatientRace                   IsPrimary                       bit
mPatientRace                   IsActive                        bit
mPatientRace                   IsDeleted                       bit
mPatientRace                   UserCreated                     varchar
mPatientRace                   DateCreated                     datetime
mPatientRace                   UserUpdated                     varchar
mPatientRace                   DateUpdated                     datetime
mPatientRegistration           PatientRegistrationID           int
mPatientRegistration           PatientID                       int
mPatientRegistration           RegistrationDate                datetime
mPatientRegistration           IsActive                        bit
mPatientRegistration           IsDeleted                       bit
mPatientRegistration           UserCreated                     varchar
mPatientRegistration           DateCreated                     datetime
mPatientRegistration           UserUpdated                     varchar
mPatientRegistration           DateUpdated                     datetime
mPatientReleaseAuthorization   PatientReleaseAuthorizationID   int
mPatientReleaseAuthorization   PatientID                       int
mPatientReleaseAuthorization   FullName                        varchar
mPatientReleaseAuthorization   Comment                         varchar
mPatientReleaseAuthorization   RelationshipID                  int
mPatientReleaseAuthorization   CanReleaseApptInfo              bit
mPatientReleaseAuthorization   CanReleaseHealthInfo            bit
mPatientReleaseAuthorization   Password                        varchar
mPatientReleaseAuthorization   IsActive                        bit
mPatientReleaseAuthorization   IsDeleted                       bit
mPatientReleaseAuthorization   UserCreated                     varchar
mPatientReleaseAuthorization   DateCreated                     datetime
mPatientReleaseAuthorization   UserUpdated                     varchar
mPatientReleaseAuthorization   DateUpdated                     datetime
mPatientRepresentative         PatientRepresentativeID         int
mPatientRepresentative         PatientID                       int
mPatientRepresentative         IsActive                        bit
mPatientRepresentative         IsDeleted                       bit
mPatientRepresentative         UserCreated                     varchar
mPatientRepresentative         DateCreated                     datetime
mPatientRepresentative         UserUpdated                     varchar
mPatientRepresentative         DateUpdated                     datetime
mPatientRepresentative         RepName                         varchar
mPatientRepresentative         Comment                         varchar
mPatientRepresentative         MobilePhone                     varchar
mPatientRepresentative    Email                      varchar
mPatientRepresentative    RelationshipID             int
mPatientUPI               UPI_Number                 varchar
mPatientUPI               PatientID                  int
mPatientUPI               PatientPhoto               image
mPatientUPI               PatientPhotoURL            varchar
mPatientUPI               IsActive                   bit
mPatientUPI               IsDeleted                  bit
mPatientUPI               UserCreated                varchar
mPatientUPI               DateCreated                datetime
mPatientUPI               UserUpdated                varchar
mPatientUPI               DateUpdated                datetime
mScanDocument             ScanDocumentID             int
mScanDocument             PatientID                  int
mScanDocument             ServiceID                  int
mScanDocument             ScanLevel1ID               int
mScanDocument             ScanLevel2ID               int
mScanDocument             ScanLevel3ID               int
mScanDocument             ScannerID                  int
mScanDocument             DocumentName               varchar
mScanDocument             FullPath                   varchar
mScanDocument             Filename                   varchar
mScanDocument             Comments                   varchar
mScanDocument             Origin                     varchar
mScanDocument             IsInternal                 bit
mScanDocument             WasReviewed                bit
mScanDocument             ReviewDate                 datetime
mScanDocument             ReviewedByID               int
mScanDocument             FromEHR                    bit
mScanDocument             ExamID                     int
mScanDocument             IsActive                   bit
mScanDocument             IsDeleted                  bit
mScanDocument             UserCreated                varchar
mScanDocument             DateCreated                datetime
mScanDocument             UserUpdated                varchar
mScanDocument             DateUpdated                datetime
mSCBaselinePatientValue   SCBaselinePatientValueID   int
mSCBaselinePatientValue   SCBaselineID               int
mSCBaselinePatientValue   PatientID                  int
mSCBaselinePatientValue   BaselinePatientValue       xml
mSCBaselinePatientValue   Rank                       int
mSCBaselinePatientValue   IsActive                   bit
mSCBaselinePatientValue   IsDeleted                  bit
mSCBaselinePatientValue   UserCreated                varchar
mSCBaselinePatientValue   DateCreated                datetime
mSCBaselinePatientValue   UserUpdated                varchar
mSCBaselinePatientValue   DateUpdated                datetime
mSCPatient          SCPatientID          int
mSCPatient          SCPlanID             int
mSCPatient          PatientID            int
mSCPatient          Notes                varchar
mSCPatient          DateAdded            datetime
mSCPatient          DateDropped          datetime
mSCPatient          DateRefreshed        datetime
mSCPatient          IsActive             bit
mSCPatient          IsDeleted            bit
mSCPatient          UserCreated          varchar
mSCPatient          DateCreated          datetime
mSCPatient          UserUpdated          varchar
mSCPatient          DateUpdated          datetime
mSignature          SignatureID          int
mSignature          PatientID            int
mSignature          UserID               int
mSignature          LinkKeyName          varchar
mSignature          LinkKey              varchar
mSignature          Signature            image
mSignature          Comment              varchar
mSignature          IsActive             bit
mSignature          IsDeleted            bit
mSignature          UserCreated          varchar
mSignature          DateCreated          datetime
mSignature          UserUpdated          varchar
mSignature          DateUpdated          datetime
tARCloseAgingTemp   ARCloseAgingTempID   int
tARCloseAgingTemp   CompanyID            int
tARCloseAgingTemp   PatientID            int
tARCloseAgingTemp   ChartNumber          varchar
tARCloseAgingTemp   NameSort             varchar
tARCloseAgingTemp   VisitID              int
tARCloseAgingTemp   VisitDate            datetime
tARCloseAgingTemp   PayerCode            varchar
tARCloseAgingTemp   Balance              money
tARCloseAgingTemp   Age1                 money
tARCloseAgingTemp   Age2                 money
tARCloseAgingTemp   Age3                 money
tARCloseAgingTemp   Age4                 money
tARCloseAgingTemp   Age5                 money
tARCloseAgingTemp   Age6                 money
tARCloseAgingTemp   Age7                 money
tARCloseAgingTemp   Age8                 money
tARCloseAgingTemp   ArchiveDate          datetime
tARCloseAgingTemp   ArchiveDocument      varchar
tARCloseAgingTemp   UserCreated          varchar
tARCloseAgingTemp   DateCreated          datetime
tARCloseAgingTempDetail   ARCloseAgingTempDetailID   int
tARCloseAgingTempDetail   CompanyID                  int
tARCloseAgingTempDetail   PatientID                  int
tARCloseAgingTempDetail   VisitID                    int
tARCloseAgingTempDetail   VisitDate                  datetime
tARCloseAgingTempDetail   PayerCode                  varchar
tARCloseAgingTempDetail   Age                        int
tARCloseAgingTempDetail   Amount                     money
tARCloseAgingTempDetail   ArchiveDate                datetime
tARCloseAgingTempDetail   ArchiveDocument            varchar
tARCloseAgingTempDetail   UserCreated                varchar
tARCloseAgingTempDetail   DateCreated                datetime
tARReceipt                ARReceiptID                int
tARReceipt                PatientID                  int
tARReceipt                CompanyID                  int
tARReceipt                ARDocumentNumber           int
tARReceipt                FederalTaxID               varchar
tARReceipt                ChartNumber                varchar
tARReceipt                ReceiptDate                datetime
tARReceipt                LastName                   varchar
tARReceipt                FirstName                  varchar
tARReceipt                MiddleName                 varchar
tARReceipt                FacilityCode               varchar
tARReceipt                PayerCode                  varchar
tARReceipt                PreviousBalance            money
tARReceipt                ChargesThisVisit           money
tARReceipt                AmountReceived             money
tARReceipt                BalanceDue                 money
tARReceipt                CheckNumber                varchar
tARReceipt                ArchiveDate                datetime
tARReceipt                ArchiveDocument            varchar
tARReceipt                UserCreated                varchar
tARReceipt                DateCreated                datetime
tAssessmentScore          AssessmentScoreID          int
tAssessmentScore          AssessmentID               int
tAssessmentScore          PatientID                  int
tAssessmentScore          VisitID                    int
tAssessmentScore          AssessmentDate             datetime
tAssessmentScore          Comments                   varchar
tAssessmentScore          FrequencyNote              varchar
tAssessmentScore          TotalScore                 int
tAssessmentScore          ProviderID                 int
tAssessmentScore          TreatmentComment1          varchar
tAssessmentScore          TreatmentComment2          varchar
tAssessmentScore          ReferralComment            varchar
tAssessmentScore          IsActive                   bit
